GENE COMMON gal1RG gal4RG gal80R gal1RG gal4RG gal80R
YHR051W COX6 -0.034 0.111 -0.304 3.75720e-01 1.56240e-02 7.91340e-06
YHR124W NDT80 -0.090 0.007 -0.348 2.71460e-01 9.64330e-01 3.44760e-01
YKL181W PRS1 -0.167 -0.233 0.112 6.27120e-03 7.89400e-04 1.44060e-01
YGR072W UPF3 0.245 -0.471 0.787 4.10450e-04 7.51780e-04 1.37130e-05
YHL020C OPI1 0.174 -0.015 0.151 1.40160e-04 7.19120e-01 1.53950e-02
YGR145W YGR145W 0.387 -0.577 -0.088 5.37920e-03 8.27330e-03 7.64180e-01
YGL041C YGL041C 0.285 -0.086 0.103 4.46050e-04 4.50790e-01 7.03040e-01
YGR218W CRM1 -0.018 -0.001 -0.018 6.13810e-01 9.79400e-01 8.09690e-01
YOR202W HIS3 -0.432 -0.710 0.239 1.09790e-02 1.79790e-04 5.48950e-03
YCR005C CIT2 0.085 0.392 0.464 4.18980e-02 1.53050e-06 2.74360e-06
